format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
mxint8,0.91,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.91,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.91,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.9,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.9,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.9,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.89,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.89,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.89,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.88,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.88,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.88,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.87,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.87,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.87,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.86,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.86,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.86,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.85,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.85,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.85,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.84,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.84,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.84,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.83,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.83,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.83,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.82,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.82,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.82,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.81,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.81,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.81,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.8,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.8,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.8,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.79,0,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.79,1,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.79,2,1,25,25,normal,0,0,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.78,0,1,24,25,fault,1,1,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.78,1,1,24,25,fault,1,1,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.78,2,1,24,25,fault,1,1,127,127,0,151520783,118686714,0,4,0,16,7
mxint8,0.77,0,0,0,25,crash,25,3,127,127,0,16901889,4212461305,0,4,0,16,7
mxint8,0.77,1,0,0,25,crash,25,3,127,127,0,16901889,4212461305,0,4,0,16,7
mxint8,0.77,2,0,0,25,crash,25,3,127,127,0,568663527,4279506161,0,4,0,16,7
mxint8,0.76,0,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.76,1,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.76,2,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.75,0,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.75,1,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.75,2,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.74,0,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.74,1,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.74,2,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.73,0,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.73,1,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.73,2,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.72,0,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.72,1,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.72,2,0,0,25,crash,25,3,127,127,0,0,0,0,0,0,0,0
mxint8,0.71,0,0,0,25,crash,25,3,123,241,0,151520783,118687611,0,4,1,16,7
mxint8,0.71,1,0,0,25,crash,25,3,123,241,0,151520783,118687611,0,4,1,16,7
mxint8,0.71,2,0,0,25,crash,25,3,123,249,0,151520783,118687611,0,4,1,16,7
mxint8,0.7,0,0,0,25,crash,25,3,240,240,0,151587081,117901063,0,6,1,16,7
mxint8,0.7,1,0,0,25,crash,25,3,240,240,0,151587081,117901063,0,6,1,16,7
mxint8,0.7,2,0,0,25,crash,25,3,240,240,0,151587081,117901103,0,6,1,16,7
mxint8,0.69,0,0,96,25,crash,121,5,240,48,192,151587273,84215237,0,6,0,16,1
mxint8,0.69,1,0,96,25,crash,121,5,240,48,192,151587273,84215237,0,6,0,16,1
mxint8,0.69,2,0,96,25,crash,121,5,240,48,192,151587273,84215237,0,6,0,16,1
mxint8,0.68,0,1,126,25,fault,103,5,253,0,253,255,253,0,0,0,0,0
mxint8,0.68,1,1,126,25,fault,103,5,253,0,253,255,253,0,0,0,0,0
mxint8,0.68,2,1,126,25,fault,103,5,253,0,253,253,253,0,0,0,0,0
mxint8,0.67,0,1,127,25,fault,102,4,255,0,255,255,255,0,0,0,0,0
mxint8,0.67,1,1,127,25,fault,102,4,255,0,255,255,255,0,0,0,0,0
mxint8,0.67,2,1,127,25,fault,102,4,255,0,255,255,255,0,0,0,0,0
mxint8,0.66,0,1,6271,25,fault,6246,6,255,0,1128481791,4351,255,0,0,0,0,0
mxint8,0.66,1,1,6271,25,fault,6246,6,255,0,1128481791,4351,255,0,0,0,0,0
mxint8,0.66,2,1,6271,25,fault,6246,6,255,0,1128481791,4351,255,0,0,0,0,0
mxint8,0.65,0,1,6655,25,fault,6630,8,255,160,1111638783,16849919,84215295,0,0,0,0,4
mxint8,0.65,1,1,6655,25,fault,6630,8,255,160,1111638783,16847871,84215295,0,0,0,0,4
mxint8,0.65,2,1,6655,25,fault,6630,8,255,160,1111638783,16849919,84215295,0,0,0,0,4
mxint8,0.64,0,1,6655,25,fault,6630,8,255,160,168430335,151591935,84215295,0,4,0,0,5
mxint8,0.64,1,1,6655,25,fault,6630,8,255,160,168430335,151591935,84215295,0,4,0,0,5
mxint8,0.64,2,1,6655,25,fault,6630,8,255,160,168430335,151591935,84215295,0,4,0,0,5
mxint8,0.63,0,1,2147483647,25,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxint8,0.63,1,1,2147483647,25,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxint8,0.63,2,1,2147483647,25,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxfp8_e4m3,1.0,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,1.0,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,1.0,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.99,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.99,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.99,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.98,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.98,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.98,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.97,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.97,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.97,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.96,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.96,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.96,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.95,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.95,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.95,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.94,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.94,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.94,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.93,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.93,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.93,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.92,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.92,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.92,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.91,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.91,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.91,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.9,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.9,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.9,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.89,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.89,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.89,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.88,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.88,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.88,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.87,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.87,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.87,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.86,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.86,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.86,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.85,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.85,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.85,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.84,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.84,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.84,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.83,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.83,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.83,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.82,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.82,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.82,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.81,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.81,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.81,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.8,0,1,0,14,fault,14,3,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.8,1,1,0,14,fault,14,3,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.8,2,1,0,14,fault,14,3,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.79,0,1,18,14,fault,28,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.79,1,1,18,14,fault,28,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.79,2,1,18,14,fault,28,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.78,0,1,8,14,fault,6,2,127,127,0,4278124270,4042322031,2,4,0,0,7
mxfp8_e4m3,0.78,1,1,8,14,fault,6,2,127,127,0,4278124286,4042289263,2,4,0,0,7
mxfp8_e4m3,0.78,2,1,24,14,fault,22,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.77,0,0,0,14,crash,-1,-1,127,127,0,4269670654,4042289392,2,4,0,0,7
mxfp8_e4m3,0.77,1,0,0,14,crash,-1,-1,127,127,0,4277206640,4042322160,2,4,0,0,7
mxfp8_e4m3,0.77,2,0,0,14,crash,-1,-1,127,127,0,4278059245,4042289392,2,4,0,0,7
mxfp8_e4m3,0.76,0,0,0,14,crash,-1,-1,127,127,0,1894838512,1894840048,2,0,0,0,7
mxfp8_e4m3,0.76,1,0,0,14,crash,-1,-1,127,127,0,4278124269,4042322160,2,4,0,0,7
mxfp8_e4m3,0.76,2,0,0,14,crash,-1,-1,127,127,0,1869574126,1886417007,2,4,0,0,7
mxfp8_e4m3,0.75,0,0,0,14,crash,-1,-1,127,127,0,4033933424,4042289264,2,0,0,0,7
mxfp8_e4m3,0.75,1,0,0,14,crash,-1,-1,127,127,0,0,0,2,2,1,16,5
mxfp8_e4m3,0.75,2,0,0,14,crash,-1,-1,127,127,0,1886417136,4033900656,2,0,0,0,7
mxfp8_e4m3,0.74,0,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.74,1,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.74,2,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.73,0,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.73,1,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.73,2,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.72,0,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.72,1,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.72,2,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.71,0,0,0,14,crash,-1,-1,107,225,0,4278124286,4042322160,2,4,1,0,7
mxfp8_e4m3,0.71,1,0,0,14,crash,-1,-1,107,225,0,4278124286,4042322160,2,4,1,0,7
mxfp8_e4m3,0.71,2,0,0,14,crash,-1,-1,107,233,0,4278124286,4042322160,2,4,1,0,7
mxfp8_e4m3,0.7,0,0,0,14,crash,-1,-1,226,224,0,4278124286,4076008178,2,4,1,0,7
mxfp8_e4m3,0.7,1,0,0,14,crash,-1,-1,226,224,0,4278124286,4076008178,2,4,1,0,7
mxfp8_e4m3,0.7,2,0,0,14,crash,-1,-1,226,224,0,4278124286,4076008178,2,4,1,0,7
mxfp8_e4m3,0.69,0,0,96,14,crash,-1,-1,226,32,131266,1010712318,842150642,2,4,0,0,1
mxfp8_e4m3,0.69,1,0,96,14,crash,-1,-1,226,32,131778,1010712318,842150642,0,4,0,0,1
mxfp8_e4m3,0.69,2,0,96,14,crash,-1,-1,226,32,131778,1044266750,842150642,0,4,0,0,1
mxfp8_e4m3,0.68,0,1,126,14,fault,112,3,253,0,253,253,253,0,0,0,0,0
mxfp8_e4m3,0.68,1,1,127,14,fault,113,4,255,0,253,255,255,0,0,0,0,0
mxfp8_e4m3,0.68,2,1,126,14,fault,112,3,253,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.67,0,1,127,14,fault,113,4,255,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.67,1,1,127,14,fault,113,4,255,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.67,2,1,127,14,fault,113,4,255,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.66,0,1,2175,14,fault,2161,5,255,0,1128481791,4351,255,0,0,0,0,0
mxfp8_e4m3,0.66,1,1,2175,14,fault,2161,5,255,0,1128481791,4351,255,0,0,0,0,0
mxfp8_e4m3,0.66,2,1,2175,14,fault,2161,5,255,0,1128481791,4351,255,0,0,0,0,1
mxfp8_e4m3,0.65,0,1,3839,14,fault,3825,8,255,160,1246382847,2897001727,2694881535,0,4,0,0,5
mxfp8_e4m3,0.65,1,1,3839,14,fault,3825,8,255,160,1246382847,2896477439,2694881535,0,4,0,0,5
mxfp8_e4m3,0.65,2,1,3839,14,fault,3825,8,255,160,1246382847,2762259711,2694881535,0,4,0,0,5
mxfp8_e4m3,0.64,0,1,3839,14,fault,3825,8,255,224,168430335,2897001727,2694881535,0,4,1,0,5
mxfp8_e4m3,0.64,1,1,3839,14,fault,3825,8,255,224,168430335,2897001727,2694881535,0,4,1,0,5
mxfp8_e4m3,0.64,2,1,3839,14,fault,3825,8,255,224,168430335,2897001727,2694881535,0,4,1,0,5
mxfp8_e4m3,0.63,0,1,2147483647,14,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxfp8_e4m3,0.63,1,1,2147483647,14,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxfp8_e4m3,0.63,2,1,2147483647,14,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxfp8_e5m2,1.0,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,1.0,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,1.0,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.99,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.99,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.99,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.98,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.98,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.98,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.97,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.97,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.97,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.96,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.96,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.96,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.95,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.95,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.95,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.94,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.94,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.94,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.93,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.93,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.93,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.92,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.92,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.92,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.91,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.91,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.91,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.9,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.9,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.9,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.89,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.89,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.89,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.88,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
